temperature,humidity,moisture,soil_type,crop_type,nitrogen,potassium,phosphorous,fertilizer_name,field_capacity,wilting_point,clay_fraction,cec_baseline,om_baseline,vpd_kpa,smd,saturation_excess,soil_temp_estimate,q10_proxy,t_max_est,t_min_est,et0_estimate,n_mineralization_index,k_depletion_proxy,n_leach_risk,general_stress,p_immobility_index
28.0,54.0,35.0,Black,Millets,41,0,0,Urea,0.45,0.28,0.55,35.0,1.5,1.7387679674378207,0.10000000000000003,0.0,25.2,0.3581432888415261,33.0,23.0,12.658344491441209,0.5372149332622891,0.6288549692145989,0.0,0.17387679674378212,0.1
30.0,60.0,61.0,Loamy,Cotton,8,10,31,14-35-14,0.25,0.12,0.2,15.0,2.0,1.6972260235036054,-0.36,0.36,27.0,0.7677460060569815,35.0,25.0,13.211110626438643,1.535492012113963,1.4948160503051122,0.288,-0.6110013684612979,0.1
37.0,70.0,37.0,Clayey,Paddy,12,0,41,DAP,0.4,0.25,0.5,30.0,2.5,1.882444507237957,0.030000000000000027,0.0,33.300000000000004,0.9610274817908689,42.0,32.0,15.145792098929656,2.402568704477172,0.9503704381466059,0.0,0.05647333521713876,0.1
25.0,50.0,26.0,Red,Ground Nuts,15,14,11,17-17-17,0.22,0.1,0.3,12.0,1.0,1.5838888587534237,-0.04000000000000001,0.04000000000000001,22.5,0.19503550736045527,30.0,20.0,11.829195288945058,0.19503550736045527,1.5613442188482136,0.028000000000000004,-0.06335555435013696,0.1
29.0,58.0,34.0,Sandy,Millets,15,0,37,DAP,0.1,0.04,0.05,5.0,0.5,1.6823845920360871,-0.24000000000000002,0.24000000000000002,26.1,0.3858488133998644,34.0,24.0,12.934727558939924,0.1929244066999322,4.352237269469016,0.228,-0.40377230208866094,0.1
27.0,54.0,30.0,Clayey,Pulses,13,0,13,20-20,0.4,0.25,0.5,30.0,2.5,1.640056480872989,0.10000000000000003,0.0,24.3,0.276796471075127,32.0,22.0,12.381961423942492,0.6919911776878175,0.6769038693085409,0.0,0.16400564808729895,0.1
30.0,60.0,58.0,Loamy,Sugarcane,10,7,32,14-35-14,0.25,0.12,0.2,15.0,2.0,1.6972260235036054,-0.32999999999999996,0.32999999999999996,27.0,0.7299880057590971,35.0,25.0,13.211110626438643,1.4599760115181941,1.4948160503051122,0.26399999999999996,-0.5600845877561897,0.1
32.0,62.0,34.0,Red,Tobacco,22,0,24,28-28,0.22,0.1,0.3,12.0,1.0,1.806814650579489,-0.12000000000000002,0.12000000000000002,28.8,0.5263390661991557,37.0,27.0,13.763876761436075,0.5263390661991557,2.072397848444439,0.084,-0.21681775806953874,0.1
34.0,65.0,60.0,Black,Sugarcane,35,0,0,Urea,0.45,0.28,0.55,35.0,1.5,1.8617410734509567,-0.14999999999999997,0.14999999999999997,30.6,1.1424491969511483,39.0,29.0,14.316642896433507,1.7136737954267225,0.7615394889777181,0.06749999999999998,-0.2792611610176434,0.1
35.0,67.0,42.0,Sandy,Barley,10,0,35,DAP,0.1,0.04,0.05,5.0,0.5,1.8554848087037197,-0.31999999999999995,0.31999999999999995,31.5,0.8869199332083796,40.0,30.0,14.593025963932224,0.4434599666041898,5.41542759781904,0.30399999999999994,-0.5937551387851903,0.1
38.0,70.0,48.0,Loamy,Wheat,8,8,28,14-35-14,0.25,0.12,0.2,15.0,2.0,1.9874272865635563,-0.22999999999999998,0.22999999999999998,34.2,1.3826899277687186,43.0,33.0,15.42217516642837,2.765379855537437,2.04336344959484,0.184,-0.4571082759096179,0.1
26.0,52.0,32.0,Black,Oil seeds,12,0,8,20-20,0.45,0.28,0.55,35.0,1.5,1.6134911177292306,0.13,0.0,23.400000000000002,0.266219457224535,31.0,21.0,12.105578356443777,0.3993291858368025,0.5580640900884929,0.0,0.20975384530479999,0.1
29.0,58.0,43.0,Clayey,Paddy,24,0,18,28-28,0.4,0.25,0.5,30.0,2.5,1.6823845920360871,-0.02999999999999997,0.02999999999999997,26.1,0.4879852640057108,34.0,24.0,12.934727558939924,1.219963160014277,0.7253728782448359,0.014999999999999986,-0.05047153776108257,0.1
30.0,60.0,29.0,Red,Ground Nuts,41,0,0,Urea,0.22,0.1,0.3,12.0,1.0,1.6972260235036054,-0.06999999999999998,0.06999999999999998,27.0,0.36499400287954853,35.0,25.0,13.211110626438643,0.36499400287954853,1.8685200628813903,0.04899999999999998,-0.11880582164525234,0.1
33.0,64.0,51.0,Sandy,Maize,5,9,29,14-35-14,0.1,0.04,0.05,5.0,0.5,1.8108532064184661,-0.41000000000000003,0.41000000000000003,29.7,0.8756011908778073,38.0,28.0,14.04025982893479,0.43780059543890365,5.08496990603499,0.3895,-0.7424498146315712,0.1
34.0,65.0,31.0,Red,Tobacco,23,0,21,28-28,0.22,0.1,0.3,12.0,1.0,1.8617410734509567,-0.09,0.09,30.6,0.59026541842476,39.0,29.0,14.316642896433507,0.59026541842476,2.2211568428516775,0.063,-0.1675566966105861,0.1
36.0,68.0,33.0,Black,Oil seeds,13,0,14,20-20,0.45,0.28,0.55,35.0,1.5,1.9011192645207515,0.12,0.0,32.4,0.7728559307671559,41.0,31.0,14.86940903143094,1.159283896150734,0.8076719989054917,0.0,0.2281343117424902,0.1
28.0,54.0,38.0,Clayey,Pulses,40,0,0,Urea,0.4,0.25,0.5,30.0,2.5,1.7387679674378207,0.020000000000000018,0.0,25.2,0.3888412850279426,33.0,23.0,12.658344491441209,0.9721032125698564,0.7336641307503655,0.0,0.034775359348756446,0.1
30.0,60.0,47.0,Sandy,Barley,12,0,42,DAP,0.1,0.04,0.05,5.0,0.5,1.6972260235036054,-0.37,0.37,27.0,0.5915420046668546,35.0,25.0,13.211110626438643,0.2957710023334273,4.484448150915337,0.3515,-0.627973628696334,0.1
31.0,62.0,63.0,Red,Cotton,11,12,15,17-17-17,0.22,0.1,0.3,12.0,1.0,1.7071850554250614,-0.41000000000000003,0.41000000000000003,27.900000000000002,0.8793823793211578,36.0,26.0,13.487493693937358,0.8793823793211578,1.9188039724524677,0.287,-0.6999458727242752,0.1
27.0,53.0,43.0,Black,Millets,23,0,24,28-28,0.45,0.28,0.55,35.0,1.5,1.6757098826310974,0.020000000000000018,0.0,24.3,0.39674160854101537,32.0,22.0,12.381961423942492,0.595112412811523,0.5928164321273557,0.0,0.03351419765262198,0.1
34.0,65.0,54.0,Loamy,Wheat,38,0,0,Urea,0.25,0.12,0.2,15.0,2.0,1.8617410734509567,-0.29000000000000004,0.29000000000000004,30.6,1.0282042772560336,39.0,29.0,14.316642896433507,2.056408554512067,1.776925474281342,0.23200000000000004,-0.5399049113007776,0.1
29.0,58.0,37.0,Sandy,Millets,8,0,15,20-20,0.1,0.04,0.05,5.0,0.5,1.6823845920360871,-0.27,0.27,26.1,0.4198942969351465,34.0,24.0,12.934727558939924,0.20994714846757326,4.352237269469016,0.2565,-0.45424383984974354,0.1
25.0,50.0,56.0,Loamy,Sugarcane,11,13,15,17-17-17,0.25,0.12,0.2,15.0,2.0,1.5838888587534237,-0.31000000000000005,0.31000000000000005,22.5,0.42007647739174986,30.0,20.0,11.829195288945058,0.8401529547834997,1.249075375078571,0.24800000000000005,-0.4910055462135614,0.1
32.0,62.0,34.0,Red,Ground Nuts,15,0,37,DAP,0.22,0.1,0.3,12.0,1.0,1.806814650579489,-0.12000000000000002,0.12000000000000002,28.8,0.5263390661991557,37.0,27.0,13.763876761436075,0.5263390661991557,2.072397848444439,0.084,-0.21681775806953874,0.1
28.0,54.0,41.0,Clayey,Paddy,36,0,0,Urea,0.4,0.25,0.5,30.0,2.5,1.7387679674378207,-0.009999999999999953,0.009999999999999953,25.2,0.41953928121435907,33.0,23.0,12.658344491441209,1.0488482030358977,0.7336641307503655,0.004999999999999977,-0.017387679674378126,0.1
30.0,60.0,49.0,Loamy,Wheat,13,0,9,20-20,0.25,0.12,0.2,15.0,2.0,1.6972260235036054,-0.24,0.24,27.0,0.6167140048654441,35.0,25.0,13.211110626438643,1.2334280097308883,1.4948160503051122,0.192,-0.4073342456408653,0.1
34.0,65.0,64.0,Black,Cotton,24,0,20,28-28,0.45,0.28,0.55,35.0,1.5,1.8617410734509567,-0.19,0.19,30.6,1.2186124767478916,39.0,29.0,14.316642896433507,1.8279187151218375,0.7615394889777181,0.08549999999999999,-0.3537308039556818,0.1
28.0,54.0,47.0,Sandy,Barley,5,18,15,10-26-26,0.1,0.04,0.05,5.0,0.5,1.7387679674378207,-0.37,0.37,25.2,0.4809352735871921,33.0,23.0,12.658344491441209,0.24046763679359606,4.401984784502193,0.3515,-0.6433441479519937,0.1
27.0,53.0,35.0,Black,Oil seeds,37,0,0,Urea,0.45,0.28,0.55,35.0,1.5,1.6757098826310974,0.10000000000000003,0.0,24.3,0.3229292162543148,32.0,22.0,12.381961423942492,0.4843938243814722,0.5928164321273557,0.0,0.1675709882631098,0.1
36.0,68.0,62.0,Red,Cotton,15,0,40,DAP,0.22,0.1,0.3,12.0,1.0,1.9011192645207515,-0.4,0.4,32.4,1.4520323547746565,41.0,31.0,14.86940903143094,1.4520323547746565,2.355709996807684,0.27999999999999997,-0.7604477058083007,0.1
34.0,65.0,57.0,Black,Sugarcane,9,0,13,20-20,0.45,0.28,0.55,35.0,1.5,1.8617410734509567,-0.11999999999999994,0.11999999999999994,30.6,1.0853267371035908,39.0,29.0,14.316642896433507,1.6279901056553863,0.7615394889777181,0.053999999999999965,-0.2234089288141147,0.1
29.0,58.0,55.0,Loamy,Sugarcane,8,8,33,14-35-14,0.25,0.12,0.2,15.0,2.0,1.6823845920360871,-0.30000000000000004,0.30000000000000004,26.1,0.6241671981468394,34.0,24.0,12.934727558939924,1.2483343962936788,1.4507457564896717,0.24000000000000005,-0.5047153776108262,0.1
25.0,50.0,40.0,Clayey,Pulses,6,19,16,10-26-26,0.4,0.25,0.5,30.0,2.5,1.5838888587534237,0.0,0.0,22.5,0.3000546267083928,30.0,20.0,11.829195288945058,0.750136566770982,0.6245376875392855,0.0,0.0,0.1
30.0,60.0,38.0,Sandy,Millets,10,0,14,20-20,0.1,0.04,0.05,5.0,0.5,1.6972260235036054,-0.28,0.28,27.0,0.4782680037732016,35.0,25.0,13.211110626438643,0.2391340018866008,4.484448150915337,0.266,-0.47522328658100954,0.1
26.0,52.0,39.0,Clayey,Pulses,21,0,23,28-28,0.4,0.25,0.5,30.0,2.5,1.6134911177292306,0.010000000000000009,0.0,23.400000000000002,0.32445496349240205,31.0,21.0,12.105578356443777,0.8111374087310051,0.6510747717699084,0.0,0.01613491117729232,0.1
31.0,62.0,32.0,Red,Tobacco,39,0,0,Urea,0.22,0.1,0.3,12.0,1.0,1.7071850554250614,-0.1,0.1,27.900000000000002,0.4466704148932865,36.0,26.0,13.487493693937358,0.4466704148932865,1.9188039724524677,0.06999999999999999,-0.17071850554250614,0.1
34.0,65.0,48.0,Loamy,Wheat,23,0,19,28-28,0.25,0.12,0.2,15.0,2.0,1.8617410734509567,-0.22999999999999998,0.22999999999999998,30.6,0.9139593575609187,39.0,29.0,14.316642896433507,1.8279187151218375,1.776925474281342,0.184,-0.42820044689372,0.1
27.0,53.0,34.0,Black,Oil seeds,42,0,0,Urea,0.45,0.28,0.55,35.0,1.5,1.6757098826310974,0.10999999999999999,0.0,24.3,0.3137026672184773,32.0,22.0,12.381961423942492,0.4705540008277159,0.5928164321273557,0.0,0.1843280870894207,0.1
33.0,64.0,31.0,Red,Ground Nuts,13,0,39,DAP,0.22,0.1,0.3,12.0,1.0,1.8108532064184661,-0.09,0.09,29.7,0.5322281748472947,38.0,28.0,14.04025982893479,0.5322281748472947,2.118737460847912,0.063,-0.16297678857766196,0.1
29.0,58.0,42.0,Clayey,Paddy,9,10,22,14-35-14,0.4,0.25,0.5,30.0,2.5,1.6823845920360871,-0.019999999999999962,0.019999999999999962,26.1,0.47663676949395006,34.0,24.0,12.934727558939924,1.191591923734875,0.7253728782448359,0.009999999999999981,-0.03364769184072168,0.1
30.0,60.0,47.0,Sandy,Maize,22,0,21,28-28,0.1,0.04,0.05,5.0,0.5,1.6972260235036054,-0.37,0.37,27.0,0.5915420046668546,35.0,25.0,13.211110626438643,0.2957710023334273,4.484448150915337,0.3515,-0.627973628696334,0.1
27.0,53.0,59.0,Loamy,Sugarcane,10,0,15,20-20,0.25,0.12,0.2,15.0,2.0,1.6757098826310974,-0.33999999999999997,0.33999999999999997,24.3,0.5443663931144164,32.0,22.0,12.381961423942492,1.0887327862288327,1.3832383416304965,0.27199999999999996,-0.5697413600945731,0.1
26.0,52.0,36.0,Clayey,Pulses,7,16,20,10-26-26,0.4,0.25,0.5,30.0,2.5,1.6134911177292306,0.040000000000000036,0.0,23.400000000000002,0.2994968893776019,31.0,21.0,12.105578356443777,0.7487422234440047,0.6510747717699084,0.0,0.06453964470916929,0.1
34.0,65.0,63.0,Red,Cotton,14,0,38,DAP,0.22,0.1,0.3,12.0,1.0,1.8617410734509567,-0.41000000000000003,0.41000000000000003,30.6,1.1995716567987058,39.0,29.0,14.316642896433507,1.1995716567987058,2.2211568428516775,0.287,-0.7633138401148923,0.1
28.0,54.0,43.0,Clayey,Paddy,10,8,29,14-35-14,0.4,0.25,0.5,30.0,2.5,1.7387679674378207,-0.02999999999999997,0.02999999999999997,25.2,0.44000461200530344,33.0,23.0,12.658344491441209,1.1000115300132587,0.7336641307503655,0.014999999999999986,-0.05216303902313457,0.1
30.0,60.0,40.0,Sandy,Millets,41,0,0,Urea,0.1,0.04,0.05,5.0,0.5,1.6972260235036054,-0.30000000000000004,0.30000000000000004,27.0,0.5034400039717911,35.0,25.0,13.211110626438643,0.25172000198589556,4.484448150915337,0.28500000000000003,-0.5091678070510817,0.1
29.0,58.0,65.0,Black,Cotton,14,0,35,DAP,0.45,0.28,0.55,35.0,1.5,1.6823845920360871,-0.2,0.2,26.1,0.7376521432644466,34.0,24.0,12.934727558939924,1.1064782148966699,0.6217481813527165,0.09,-0.33647691840721744,0.1
26.0,52.0,59.0,Loamy,Sugarcane,11,0,9,20-20,0.25,0.12,0.2,15.0,2.0,1.6134911177292306,-0.33999999999999997,0.33999999999999997,23.400000000000002,0.4908421242577364,31.0,21.0,12.105578356443777,0.9816842485154728,1.3021495435398167,0.27199999999999996,-0.5485869800279384,0.1
31.0,62.0,44.0,Sandy,Barley,21,0,28,28-28,0.1,0.04,0.05,5.0,0.5,1.7071850554250614,-0.33999999999999997,0.33999999999999997,27.900000000000002,0.614171820478269,36.0,26.0,13.487493693937358,0.3070859102391345,4.605129533885923,0.32299999999999995,-0.5804429188445208,0.1
35.0,67.0,28.0,Clayey,Pulses,8,7,31,14-35-14,0.4,0.25,0.5,30.0,2.5,1.8554848087037197,0.12,0.0,31.5,0.5912799554722531,40.0,30.0,14.593025963932224,1.4781998886806327,0.9025712663031732,0.0,0.22265817704444635,0.1
29.0,58.0,30.0,Red,Tobacco,13,17,16,10-26-26,0.22,0.1,0.3,12.0,1.0,1.6823845920360871,-0.07999999999999999,0.07999999999999999,26.1,0.34045483535282145,34.0,24.0,12.934727558939924,0.34045483535282145,1.8134321956120898,0.05599999999999999,-0.13459076736288694,0.1
27.0,53.0,30.0,Black,Millets,35,0,0,Urea,0.45,0.28,0.55,35.0,1.5,1.6757098826310974,0.15000000000000002,0.0,24.3,0.276796471075127,32.0,22.0,12.381961423942492,0.41519470661269053,0.5928164321273557,0.0,0.2513564823946646,0.1
36.0,68.0,50.0,Loamy,Wheat,12,18,19,10-26-26,0.25,0.12,0.2,15.0,2.0,1.9011192645207515,-0.25,0.25,32.4,1.1709938344956907,41.0,31.0,14.86940903143094,2.3419876689913814,1.8845679974461473,0.2,-0.4752798161301879,0.1
29.0,58.0,61.0,Loamy,Cotton,11,0,38,DAP,0.25,0.12,0.2,15.0,2.0,1.6823845920360871,-0.36,0.36,26.1,0.6922581652174037,34.0,24.0,12.934727558939924,1.3845163304348074,1.4507457564896717,0.288,-0.6056584531329914,0.1
30.0,60.0,26.0,Black,Oil seeds,8,9,30,14-35-14,0.45,0.28,0.55,35.0,1.5,1.6972260235036054,0.19,0.0,27.0,0.32723600258166424,35.0,25.0,13.211110626438643,0.49085400387249634,0.6406354501307624,0.0,0.32247294446568503,0.1
34.0,65.0,45.0,Clayey,Paddy,6,19,21,10-26-26,0.4,0.25,0.5,30.0,2.5,1.8617410734509567,-0.04999999999999999,0.04999999999999999,30.6,0.8568368977133614,39.0,29.0,14.316642896433507,2.142092244283403,0.888462737140671,0.024999999999999994,-0.09308705367254781,0.1
36.0,68.0,41.0,Red,Ground Nuts,41,0,0,Urea,0.22,0.1,0.3,12.0,1.0,1.9011192645207515,-0.18999999999999997,0.18999999999999997,32.4,0.9602149442864664,41.0,31.0,14.86940903143094,0.9602149442864664,2.355709996807684,0.13299999999999998,-0.3612126602589427,0.1
28.0,54.0,25.0,Sandy,Maize,9,10,30,14-35-14,0.1,0.04,0.05,5.0,0.5,1.7387679674378207,-0.15,0.15,25.2,0.25581663488680434,33.0,23.0,12.658344491441209,0.12790831744340217,4.401984784502193,0.1425,-0.2608151951156731,0.1
25.0,50.0,32.0,Clayey,Pulses,24,0,19,28-28,0.4,0.25,0.5,30.0,2.5,1.5838888587534237,0.08000000000000002,0.0,22.5,0.24004370136671419,30.0,20.0,11.829195288945058,0.6001092534167854,0.6245376875392855,0.0,0.1267111087002739,0.1
30.0,60.0,27.0,Red,Tobacco,4,17,17,10-26-26,0.22,0.1,0.3,12.0,1.0,1.6972260235036054,-0.05000000000000002,0.05000000000000002,27.0,0.339822002680959,35.0,25.0,13.211110626438643,0.339822002680959,1.8685200628813903,0.03500000000000001,-0.0848613011751803,0.1
